time,encoderLeft,encoderRight
97.902,0.6658170819282532,0.4119175374507904
98,0.6858156323432922,0.4319162368774414
98.097,0.7056305408477783,0.4517384469509125
98.201,0.7034530639648438,0.4542557895183563
98.301,0.7234457731246948,0.4742509424686432
98.401,0.7434443831443787,0.4942498803138733
98.502,0.7634429931640625,0.5142485499382019
98.602,0.7832651138305664,0.5340650677680969
98.702,0.7856181263923645,0.5317218899726868
98.803,0.7881346940994263,0.5295351147651672
98.901,0.8081302046775818,0.5495269894599915
99.002,0.8281291723251343,0.569525420665741
99.102,0.8481280207633972,0.5895237922668457
99.202,0.8681269288063049,0.6095222234725952
99.302,0.8881258368492126,0.6295206546783447
99.398,0.9079481959342957,0.6493373513221741
99.502,0.9103010296821594,0.6469941139221191
99.612,0.912648618221283,0.6446425318717957
99.704,0.9149963855743408,0.6422909498214722
99.802,0.9175108671188354,0.6401047706604004
99.902,0.9375054836273193,0.6600961089134216
100.002,0.9575042724609375,0.6800946593284607
100.101,0.9775030016899109,0.7000932097434998
100.202,0.997501790523529,0.7200917601585388
100.302,1.0175005197525024,0.7400903105735779
100.401,1.0374993085861206,0.7600888609886169
100.503,1.0574979782104492,0.780087411403656
100.602,1.0774967670440674,0.8000859618186951
100.701,1.0973190069198608,0.819902777671814
100.798,1.0996718406677246,0.8175593018531799
100.9,1.1020194292068481,0.8152077794075012
101.002,1.1043672561645508,0.8128562569618225
101.102,1.1068840026855469,0.8106931447982788
101.2,1.1268786191940308,0.8306844234466553
101.302,1.146877408027649,0.8506829738616943
101.399,1.166876196861267,0.8706815242767334
101.5,1.1868748664855957,0.8906800150871277
101.602,1.2068736553192139,0.9106785655021667
101.702,1.226872444152832,0.9306771159172058
101.802,1.2468712329864502,0.9506756067276001
101.902,1.2668700218200684,0.9706741571426392
101.998,1.286868691444397,0.9906727075576782
102.101,1.3068674802780151,1.0106712579727173
102.202,1.3268662691116333,1.0306698083877563
102.302,1.346864938735962,1.0506683588027954
102.401,1.36686372756958,1.0706669092178345
102.5,1.3866859674453735,1.090482473373413
102.603,1.3890385627746582,1.0881397724151611
102.702,1.3913862705230713,1.0857884883880615
102.802,1.3937339782714844,1.083437204360962
102.896,1.3962504863739014,1.0812541246414185
103.001,1.416245460510254,1.1012465953826904
103.102,1.4362441301345825,1.1212451457977295
103.201,1.4562429189682007,1.1412436962127686
103.3,1.4762417078018188,1.1612422466278076
103.402,1.4962403774261475,1.1812407970428467
103.503,1.5162391662597656,1.2012393474578857
103.602,1.5362378358840942,1.2212378978729248
103.702,1.5562366247177124,1.2412364482879639
103.8,1.576235294342041,1.261234998703003
103.902,1.5962340831756592,1.281233549118042
104.002,1.6162327527999878,1.3012322187423706
104.102,1.636231541633606,1.3212307691574097
104.202,1.6562302112579346,1.3412293195724487
104.302,1.6762290000915527,1.3612278699874878
104.402,1.696227788925171,1.3812265396118164
104.502,1.716226577758789,1.401225209236145
104.602,1.7362253665924072,1.421223759651184
104.701,1.7562240362167358,1.4412224292755127
104.802,1.776222825050354,1.4612210988998413
104.901,1.796045184135437,1.4810365438461304
105.002,1.7983978986740112,1.478692889213562
105.102,1.8009147644042969,1.476510763168335
105.201,1.820909857749939,1.4965031147003174
105.303,1.8409085273742676,1.5165016651153564
105.403,1.8609073162078857,1.536500334739685
105.502,1.8809059858322144,1.5564988851547241
105.601,1.9009047746658325,1.5764974355697632
105.702,1.9209034442901611,1.5964959859848022
105.802,1.9409021139144897,1.6164946556091309
105.902,1.960900902748108,1.63649320602417
106.002,1.9808995723724365,1.656491756439209
106.101,2.0008983612060547,1.676490306854248
106.202,2.0208969116210938,1.6964889764785767
106.302,2.040895700454712,1.7164875268936157
106.402,2.06089448928833,1.7364860773086548
106.502,2.080893039703369,1.7564847469329834
106.602,2.1008918285369873,1.7764832973480225
106.702,2.1208906173706055,1.796481966972351
106.802,2.1408894062042236,1.8164806365966797
106.898,2.160888195037842,1.8364793062210083
107.002,2.18088698387146,1.856477975845337
107.102,2.200885772705078,1.876476526260376
107.202,2.2208845615386963,1.8964753150939941
107.302,2.2408833503723145,1.9164738655090332
107.403,2.2608821392059326,1.9364725351333618
107.502,2.280880928039551,1.9564712047576904
107.604,2.300879716873169,1.976469874382019
107.701,2.320878505706787,1.9964685440063477
107.801,2.3408772945404053,2.0164670944213867
107.902,2.3606770038604736,2.036271572113037
108,2.360680341720581,2.03627610206604
108.1,2.3606700897216797,2.036269426345825
108.207,2.360668659210205,2.0362679958343506
108.301,2.3606669902801514,2.036266565322876
108.402,2.3606631755828857,2.036264181137085
108.502,2.360657215118408,2.0362606048583984
108.602,2.3606514930725098,2.03625750541687
108.702,2.3606457710266113,2.036254405975342
108.8,2.360639810562134,2.0362510681152344
108.901,2.3606338500976562,2.036247968673706
109.006,2.3606278896331787,2.0362448692321777
109.103,2.3606221675872803,2.0362420082092285
109.203,2.3606162071228027,2.0362389087677
109.303,2.360610246658325,2.036236047744751
109.402,2.3606042861938477,2.0362331867218018
109.499,2.36059832572937,2.0362300872802734
109.602,2.3605921268463135,2.036227226257324
109.703,2.360586166381836,2.036224126815796
109.801,2.3605799674987793,2.0362212657928467
109.902,2.3605737686157227,2.0362181663513184
110.002,2.360567569732666,2.03621506690979
110.102,2.3605611324310303,2.0362117290496826
110.202,2.3605549335479736,2.0362086296081543
110.302,2.360548496246338,2.036205530166626
110.403,2.360542058944702,2.0362021923065186
110.501,2.3605356216430664,2.0361990928649902
110.602,2.3605289459228516,2.036195755004883
